date,cum1234,cond12345,water1234,CGR1234,AG1234,TotalFlow
05/23/2004,188.4192678,0.430499615,0.206257118,-0.269297098,1147.05145,0.885768898
05/24/2004,201.5938779,0.457290791,0.218378959,-0.282762779,1212.619449,0.914315315
05/25/2004,215.0628546,0.484135493,0.230511821,-0.295807141,1277.625044,0.932097669
05/26/2004,228.7952857,0.510910832,0.2426218,-0.308346766,1341.74123,0.938926998
05/27/2004,242.7609961,0.537497257,0.254684444,-0.320295563,1404.654279,0.935188136
05/28/2004,256.9310853,0.563779375,0.266673438,-0.33157358,1466.068409,0.92172685
05/29/2004,271.278503,0.589647001,0.278556539,-0.342112651,1525.709974,0.899634453
05/30/2004,285.7784837,0.614996281,0.290295695,-0.351854533,1583.331034,0.870017517
05/31/2004,300.4089118,0.639730774,0.301859494,-0.360759808,1638.712264,0.833883787
06/01/2004,315.1506104,0.663762521,0.313224778,-0.368809455,1691.665066,0.79232996
06/02/2004,329.9876142,0.687012963,0.324375129,-0.375991433,1742.033373,0.746506426
06/03/2004,344.9072894,0.709413602,0.33530067,-0.382294855,1789.69458,0.697587427
06/04/2004,359.9002717,0.730906241,0.346000067,-0.387711885,1834.559604,0.646763434
06/05/2004,374.9604654,0.751443153,0.356477673,-0.392241219,1876.572445,0.595192773
06/06/2004,390.0849336,0.770988151,0.366742887,-0.395898686,1915.709084,0.543977002
06/07/2004,405.2737138,0.789515922,0.376808747,-0.398727092,1951.975754,0.494106972
06/08/2004,420.5296164,0.807011074,0.38668399,-0.400788878,1985.406873,0.446553431
06/09/2004,435.8579083,0.82346778,0.396373658,-0.402148616,2016.062349,0.402092786
06/10/2004,451.2659836,0.838889053,0.405883988,-0.402866883,2044.024624,0.361247859
06/11/2004,466.7630023,0.853286195,0.415226192,-0.402992885,2069.395429,0.310946934
06/12/2004,482.359534,0.86667763,0.424411861,-0.402565553,2092.292685,0.266404059
06/13/2004,498.0671865,0.879087947,0.433450957,-0.40163118,2112.847419,0.226879261
06/14/2004,513.8982535,0.890547078,0.442351341,-0.400247292,2131.200587,0.192412713
06/15/2004,529.8653252,0.901089495,0.451121939,-0.398481361,2147.499969,0.163503909
06/16/2004,545.981004,0.910753441,0.459772129,-0.396407267,2161.897281,0.141089676
06/17/2004,562.2575972,0.919580143,0.468302915,-0.394101258,2174.545498,0.125648281
